Company,Year,COVID,ROA,ROE,Revenue,Total Assets,PAT,Equity
VIC,2015,0,0.0084,0.0324,34047966,145494673,1215775,37576843
VIC,2016,0,0.0135,0.0539,57614344,180450850,2439511,45266395
VIC,2017,0,0.0209,0.0849,89350049,213792057,4462412,52557010
VIC,2018,0,0.0131,0.0381,121894400,287974177,3776728,99013715
VIC,2019,0,0.0187,0.0626,130036014,403740754,7545915,120588589
VIC,2020,1,0.0129,0.0402,110490033,422503767,5464627,135852715
VIC,2021,1,-0.0059,-0.0158,125687870,428384465,-2513883,159571866
VIC,2022,0,0.0152,0.0647,101793582,577407240,8781861,135655449
VIC,2023,0,0.0032,0.0146,161427568,667655767,2156925,148221686
VIC,2024,0,0.0142,0.0774,189068040,836603903,11903028,153834481
VIC,2025,0,0.0101,0.0769,331837561,1118622625,11349934,147566342
VHM,2015,0,0.0314,0.1115,4920363,25306639,795075,7128550
VHM,2016,0,0.0439,0.1726,11217376,37520746,1648549,9548942
VHM,2017,0,0.0275,0.1392,15297312,51303819,1409642,10123785
VHM,2018,0,0.1193,0.2967,38664328,119688756,14284453,48144875
VHM,2019,0,0.1103,0.3360,51626931,197241028,21747376,64715043
VHM,2020,1,0.1270,0.3069,71546737,215326377,27351280,89129915
VHM,2021,1,0.1684,0.2955,84985606,230516471,38824562,131407411
VHM,2022,0,0.0797,0.1941,62392603,361812647,28830869,148521843
VHM,2023,0,0.0751,0.1827,103556722,444630675,33371407,182636305
VHM,2024,0,0.0564,0.1441,102323186,564209360,31801258,220743975
VHM,2025,0,0.0532,0.1681,153270923,787857267,41895255,249216707
VRE,2015,0,0.0304,0.0732,5958137,35909784,1089884,14884022
VRE,2016,0,0.0710,0.0987,6385889,34299150,2436561,24683385
VRE,2017,0,0.0532,0.0777,5518240,38133237,2027447,26094055
VRE,2018,0,0.0622,0.0843,9123952,38683683,2404386,28509281
VRE,2019,0,0.0796,0.1058,9259257,35838691,2851480,26953507
VRE,2020,1,0.0598,0.0812,8328918,39816432,2381855,29335816
VRE,2021,1,0.0347,0.0429,5891141,37873488,1314510,30650829
VRE,2022,0,0.0650,0.0831,7361437,42701088,2776057,33424690
VRE,2023,0,0.0925,0.1165,9791335,47653731,4408600,37826850
VRE,2024,0,0.0742,0.0977,8939117,55226155,4095780,41922641
VRE,2025,0,0.1052,0.1333,8837380,61279149,6445924,48368203
KSF,2015,0,,,,,,
