Company,Year,COVID,ROA,ROE,Revenue,Total Assets,PAT,Asset Turnover Ratio,Equity,Nợ phải trả,LEV
VIC,2015,0,0.0084,0.0324,34047966,145494673,1215775,0.2340,37576843,107917829,0.742
VIC,2016,0,0.0135,0.0539,57614344,180450850,2439511,0.3193,45266395,135184455,0.749
VIC,2017,0,0.0209,0.0849,89350049,213792057,4462412,0.4179,52557010,161235047,0.754
VIC,2018,0,0.0131,0.0381,121894400,287974177,3776728,0.4233,99013715,188960462,0.656
VIC,2019,0,0.0187,0.0626,130036014,403740754,7545915,0.3221,120588589,283152165,0.701
VIC,2020,1,0.0129,0.0402,110490033,422503767,5464627,0.2615,135852715,286651052,0.678
VIC,2021,1,-0.0059,-0.0158,125687870,428384465,-2513883,0.2934,159571866,268812599,0.628
VIC,2022,0,0.0152,0.0647,101793582,577407240,8781861,0.1763,135655449,441751791,0.765
VIC,2023,0,0.0032,0.0146,161427568,667655767,2156925,0.2418,148221686,519434081,0.778
VIC,2024,0,0.0142,0.0774,189068040,836603903,11903028,0.2260,153834481,682769422,0.816
VIC,2025,0,0.0101,0.0769,331837561,1118622625,11349934,0.2966,147566342,967133690,0.865
VHM,2015,0,0.0314,0.1115,4920363,25306639,795075,0.1944,7128550,18178089,0.718
VHM,2016,0,0.0439,0.1726,11217376,37520746,1648549,0.2990,9548942,27971804,0.746
VHM,2017,0,0.0275,0.1392,15297312,51303819,1409642,0.2982,10123785,41180034,0.803
VHM,2018,0,0.1193,0.2967,38664328,119688756,14284453,0.3230,48144875,71543881,0.598
VHM,2019,0,0.1103,0.3360,51626931,197241028,21747376,0.2617,64715043,132525985,0.672
VHM,2020,1,0.1270,0.3069,71546737,215326377,27351280,0.3323,89129915,126196462,0.586
VHM,2021,1,0.1684,0.2955,84985606,230516471,38824562,0.3687,131407411,99109060,0.430
VHM,2022,0,0.0797,0.1941,62392603,361812647,28830869,0.1724,148521843,213290804,0.590
VHM,2023,0,0.0751,0.1827,103556722,444630675,33371407,0.2329,182636305,261994369,0.589
VHM,2024,0,0.0564,0.1441,102323186,564209360,31801258,0.1814,220743975,343465385,0.609
VHM,2025,0,0.0532,0.1681,153270923,787857267,41895255,0.1945,249216707,538640560,0.684
VRE,2015,0,0.0304,0.0732,5958137,35909784,1089884,0.1659,14884022,21025762,0.586
VRE,2016,0,0.0710,0.0987,6385889,34299150,2436561,0.1862,24683385,9615765,0.280
VRE,2017,0,0.0532,0.0777,5518240,38133237,2027447,0.1447,26094055,12039182,0.316
VRE,2018,0,0.0622,0.0843,9123952,38683683,2404386,0.2359,28509281,10174402,0.263
VRE,2019,0,0.0796,0.1058,9259257,35838691,2851480,0.2584,26953507,8885184,0.248
VRE,2020,1,0.0598,0.0812,8328918,39816432,2381855,0.2092,29335816,10480616,0.263
VRE,2021,1,0.0347,0.0429,5891141,37873488,1314510,0.1555,30650829,7222659,0.191
VRE,2022,0,0.0650,0.0831,7361437,42701088,2776057,0.1724,33424690,9276398,0.217
VRE,2023,0,0.0925,0.1165,9791335,47653731,4408600,0.2055,37826850,9826881,0.206
VRE,2024,0,0.0742,0.0977,8939117,55226155,4095780,0.1619,41922641,13303514,0.241
VRE,2025,0,0.1052,0.1333,8837380,61279149,6445924,0.1442,48368203,12910946,0.211
KSF,2015,0,,,,,,,,,
KSF,2016,0,,,,,,,,,
KSF,2017,0,,,,,,,,,
KSF,2018,0,-0.0027,-0.0055,1916314,5090234,-13708,0.3765,2485604,2604630,0.512
KSF,2019,0,0.0449,0.0817,1448982,4928223,221187,0.2940,2706791,2221431,0.451
KSF,2020,1,0.0180,0.1072,1241490,11185533,201705,0.1110,1882142,9303391,0.832
KSF,2021,1,0.0358,0.0589,1212592,10278663,367720,0.1180,6245504,4033159,0.392
