Company,Year,ROA,ROE,Revenue,Total Assets,PAT,Equity
VIC,2015,"0,84%","3,24%",34.047.966,145.494.673,1.215.775,37.576.843
VIC,2016,"1,35%","5,39%",57.614.344,180.450.850,2.439.511,45.266.395
VIC,2017,"2,09%","8,49%",89.350.049,213.792.057,4.462.412,52.557.010
VIC,2018,"1,31%","3,81%",121.894.400,287.974.177,3.776.728,99.013.715
VIC,2019,"1,87%","6,26%",130.036.014,403.740.754,7.545.915,120.588.589
VIC,2020,"1,29%","4,02%",110.490.033,422.503.767,5.464.627,135.852.715
VIC,2021,"-0,59%","-1,58%",125.687.870,428.384.465,-2.513.883,159.571.866
VIC,2022,"1,52%","6,47%",101.793.582,577.407.240,8.781.861,135.655.449
VIC,2023,"0,32%","1,46%",161.427.568,667.655.767,2.156.925,148.221.686
VIC,2024,"1,42%","7,74%",189.068.040,836.603.903,11.903.028,153.834.481
VIC,2025,"1,01%","7,69%",331.837.561,1.118.622.625,11.349.934,147.566.342
VHM,2015,"3,14%","11,15%",4.920.363,25.306.639,795.075,7.128.550
VHM,2016,"4,39%","17,26%",11.217.376,37.520.746,1.648.549,9.548.942
VHM,2017,"2,75%","13,92%",15.297.312,51.303.819,1.409.642,10.123.785
VHM,2018,"11,93%","29,67%",38.664.328,119.688.756,14.284.453,48.144.875
VHM,2019,"11,03%","33,60%",51.626.931,197.241.028,21.747.376,64.715.043
VHM,2020,"12,70%","30,69%",71.546.737,215.326.377,27.351.280,89.129.915
VHM,2021,"16,84%","29,55%",84.985.606,230.516.471,38.824.562,131.407.411
VHM,2022,"7,97%","19,41%",62.392.603,361.812.647,28.830.869,148.521.843
VHM,2023,"7,51%","18,27%",103.556.722,444.630.675,33.371.407,182.636.305
VHM,2024,"5,64%","14,41%",102.323.186,564.209.360,31.801.258,220.743.975
VHM,2025,"5,32%","16,81%",153.270.923,787.857.267,41.895.255,249.216.707
VRE,2015,"3,04%","7,32%",5.958.137,35.909.784,1.089.884,14.884.022
VRE,2016,"7,10%","9,87%",6.385.889,34.299.150,2.436.561,24.683.385
VRE,2017,"5,32%","7,77%",5.518.240,38.133.237,2.027.447,26.094.055
VRE,2018,"6,22%","8,43%",9.123.952,38.683.683,2.404.386,28.509.281
VRE,2019,"7,96%","10,58%",9.259.257,35.838.691,2.851.480,26.953.507
VRE,2020,"5,98%","8,12%",8.328.918,39.816.432,2.381.855,29.335.816
VRE,2021,"3,47%","4,29%",5.891.141,37.873.488,1.314.510,30.650.829
VRE,2022,"6,50%","8,31%",7.361.437,42.701.088,2.776.057,33.424.690
VRE,2023,"9,25%","11,65%",9.791.335,47.653.731,4.408.600,37.826.850
VRE,2024,"7,42%","9,77%",8.939.117,55.226.155,4.095.780,41.922.641
VRE,2025,"10,52%","13,33%",8.837.380,61.279.149,6.445.924,48.368.203
KSF,2015,#DIV/0!,#DIV/0!,,,,
KSF,2016,#DIV/0!,#DIV/0!,,,,
KSF,2017,#DIV/0!,#DIV/0!,,,,
KSF,2018,"-0,27%","-0,55%",1.916.314,5.090.234,-13.708,2.485.604
KSF,2019,"4,49%","8,17%",1.448.982,4.928.223,221.187,2.706.791
KSF,2020,"1,80%","10,72%",1.241.490,11.185.533,201.705,1.882.142
KSF,2021,#VALUE!,#VALUE!,1.212.592,10.278.663,367.72,6.245.504
KSF,2022,"2,91%","5,43%",554.619,12.601.063,367.109,6.762.360
KSF,2023,"0,76%","1,91%",2.469.469,18.245.785,138.888,7.279.115
KSF,2024,#VALUE!,#VALUE!,2.469.469,20.558.337,679.17,6.879.244
KSF,2025,"7,08%","42,80%",20.198.173,120.143.673,8.502.086,19.863.271
BCM,2015,"0,94%","4,29%",7.337.544,51.471.671,484.962,11.315.498
BCM,2016,"1,37%","6,03%",7.299.657,57.246.332,786.907,13.049.644
